beer,container,model,MAE,RMSE,SMAPE
Hoop Bleke Nelis,Bottle 33cl,Naive_Last_Week,46.91076923076923,70.02510758512044,87.46914846894141
Hoop Bleke Nelis,Bottle 75cl,Naive_Last_Week,11.076923076923077,47.47610735128533,23.07692200003594
Hoop Bleke Nelis,Keg 20L,Naive_Last_Week,166.15384615384616,179.74340685458344,82.799191532481
Hoop Bleke Nelis,Keg 50L,Naive_Last_Week,11.538461538461538,58.83484054145521,7.692307666666667
Hoop Bleke Nelis,Other,Naive_Last_Week,15.345,23.387504799983063,72.83762488548527
Hoop Kaper Tropical IPA,Bottle 33cl,Naive_Last_Week,31.98461538461538,37.09935267940357,66.16698250163779
Hoop Kaper Tropical IPA,Keg 20L,Naive_Last_Week,95.38461538461539,103.77490433255417,87.85822141965866
Hoop Kaper Tropical IPA,Other,Naive_Last_Week,4.264615384615386,5.96813848055463,156.25898157866794
Hoop Lager,Bottle 33cl,Naive_Last_Week,0.0,0.0,0.0
Hoop Lager,Keg 20L,Naive_Last_Week,226.15384615384616,327.9774851559643,62.69149261598628
Hoop Lager,Keg 50L,Naive_Last_Week,105.76923076923077,109.63225241337865,196.581194648623
Hoop Lager,Other,Naive_Last_Week,18.975,19.223085580384055,187.39315301354642
Hoop Bleke Nelis,Bottle 33cl,Naive_Seasonal_52,81.94153846153846,184.55796237746853,76.87829405989466
Hoop Bleke Nelis,Bottle 75cl,Naive_Seasonal_52,23.192307692307693,48.85063577257327,90.8940853420661
Hoop Bleke Nelis,Keg 20L,Naive_Seasonal_52,153.07692307692307,316.05744365907236,78.68138959433892
Hoop Bleke Nelis,Keg 50L,Naive_Seasonal_52,11.538461538461538,58.83484054145521,7.692307666666667
Hoop Bleke Nelis,Other,Naive_Seasonal_52,25.85076923076923,41.86517508162822,94.60039203947872
Hoop Kaper Tropical IPA,Bottle 33cl,Naive_Seasonal_52,36.24923076923077,45.60286630667655,127.5165494352748
Hoop Kaper Tropical IPA,Keg 20L,Naive_Seasonal_52,83.07692307692308,108.27315883023329,151.6114745139744
Hoop Kaper Tropical IPA,Other,Naive_Seasonal_52,8.757692307692308,12.180119362810354,134.763462568811
Hoop Lager,Bottle 33cl,Naive_Seasonal_52,2.436923076923077,5.2672924003485155,61.53845078995308
Hoop Lager,Keg 20L,Naive_Seasonal_52,253.07692307692307,354.466012258092,87.80996528060876
Hoop Lager,Keg 50L,Naive_Seasonal_52,36.53846153846154,149.67914401761573,19.363395068874052
Hoop Lager,Other,Naive_Seasonal_52,6.790384615384616,11.680716357115458,107.69228830386031
Hoop Bleke Nelis,Bottle 33cl,LinearRegression,56.34520010151826,76.16914075487965,93.07053076953031
Hoop Bleke Nelis,Bottle 75cl,LinearRegression,33.24349879730793,55.30922561491211,85.10338721054586
Hoop Bleke Nelis,Keg 20L,LinearRegression,91.91422745064315,110.90379500200983,56.90342165017619
Hoop Bleke Nelis,Keg 50L,LinearRegression,16.094928820862258,57.12866484197819,176.390796144707
Hoop Bleke Nelis,Other,LinearRegression,17.939427563482987,23.47284591584609,97.46550424061246
Hoop Kaper Tropical IPA,Bottle 33cl,LinearRegression,26.107056738423992,37.94835451900299,80.48262226511038
Hoop Kaper Tropical IPA,Keg 20L,LinearRegression,62.78541362655289,86.12784145707201,87.90563437306638
Hoop Kaper Tropical IPA,Other,LinearRegression,7.7491979608937305,10.350191560963548,110.22487945868902
Hoop Lager,Bottle 33cl,LinearRegression,7.674322217026481,8.28239437273487,199.99996122942832
Hoop Lager,Keg 20L,LinearRegression,227.4079854137179,309.63158277525883,63.411461964342706
Hoop Lager,Keg 50L,LinearRegression,88.93874776231623,118.60393463267879,185.71791171685683
Hoop Lager,Other,LinearRegression,18.564485040436082,38.47283060962533,64.64779683112116
Hoop Bleke Nelis,Bottle 33cl,Ridge,55.82886978315207,75.60467210409539,90.72169165848928
Hoop Bleke Nelis,Bottle 75cl,Ridge,32.57796905729461,54.106517856415955,83.03617771676582
Hoop Bleke Nelis,Keg 20L,Ridge,92.56099928356204,110.49397207023706,57.33363931568816
Hoop Bleke Nelis,Keg 50L,Ridge,16.15048626420097,57.2001231269874,184.10639713603288
Hoop Bleke Nelis,Other,Ridge,17.576461474897325,23.132629020996248,91.76866534951192
Hoop Kaper Tropical IPA,Bottle 33cl,Ridge,25.823777307419583,37.54802957410868,79.16242947682885
Hoop Kaper Tropical IPA,Keg 20L,Ridge,62.33071820087655,84.9031530259485,87.65272291421459
Hoop Kaper Tropical IPA,Other,Ridge,7.519035534929392,10.095176701075697,109.07391229919452
Hoop Lager,Bottle 33cl,Ridge,7.64723375062333,8.207332989393185,199.99996344540264
Hoop Lager,Keg 20L,Ridge,227.70343751328676,311.28558199604896,63.60506235790084
Hoop Lager,Keg 50L,Ridge,88.06527395445693,117.60506150599177,185.7784219601586
Hoop Lager,Other,Ridge,18.21584666099121,38.04071900884753,64.33595427997176
Hoop Bleke Nelis,Bottle 33cl,RandomForest,55.93163939239443,76.01691531062431,74.40606621988218
Hoop Bleke Nelis,Bottle 75cl,RandomForest,103.75677099293239,150.6419974007356,185.5029788127324
Hoop Bleke Nelis,Keg 20L,RandomForest,71.98966123976082,94.22245945069837,46.72914527110857
Hoop Bleke Nelis,Keg 50L,RandomForest,13.311080586080585,59.20063447103475,30.769222290146203
Hoop Bleke Nelis,Other,RandomForest,15.622433031169436,19.493633523783583,69.40239010498134
Hoop Kaper Tropical IPA,Bottle 33cl,RandomForest,26.82285045470579,38.045960844586766,74.03283745911293
Hoop Kaper Tropical IPA,Keg 20L,RandomForest,53.338647854993994,71.0756061956831,65.59989545158231
Hoop Kaper Tropical IPA,Other,RandomForest,9.657996545915266,12.314140261970717,137.34632385401767
Hoop Lager,Bottle 33cl,RandomForest,4.594266610206114,5.241258891866015,199.99994305606847
Hoop Lager,Keg 20L,RandomForest,230.9095336769486,332.20902294219206,65.43838839438324
Hoop Lager,Keg 50L,RandomForest,58.06708452482657,80.25277653443261,193.80684852308823
Hoop Lager,Other,RandomForest,66.20711080479407,98.25490826581726,192.2318118974944
Hoop Bleke Nelis,Bottle 33cl,HistGradientBoosting,44.62591320143837,65.282241575024,60.64052442262414
Hoop Bleke Nelis,Bottle 75cl,HistGradientBoosting,20.554973359724052,52.71677318744101,197.18917684366215
Hoop Bleke Nelis,Keg 20L,HistGradientBoosting,66.38191840121823,86.60184369577676,43.934992326432805
Hoop Bleke Nelis,Keg 50L,HistGradientBoosting,11.539313890689519,58.83445930713935,199.4861121414753
Hoop Bleke Nelis,Other,HistGradientBoosting,21.987104096265536,31.772411705285258,81.43560202799239
Hoop Kaper Tropical IPA,Bottle 33cl,HistGradientBoosting,37.708386809656645,47.169858546264415,130.5172962728841
Hoop Kaper Tropical IPA,Keg 20L,HistGradientBoosting,65.2416873598923,92.58016823546383,121.48259169934286
Hoop Kaper Tropical IPA,Other,HistGradientBoosting,5.280895178100192,6.036017589019257,135.08118777329457
Hoop Lager,Bottle 33cl,HistGradientBoosting,0.1052950815087634,0.1617095597976887,199.9943388482793
Hoop Lager,Keg 20L,HistGradientBoosting,239.87782672709153,346.3877334241777,69.39176968526179
Hoop Lager,Keg 50L,HistGradientBoosting,28.530566448255858,66.68490804163713,197.98285974809872
Hoop Lager,Other,HistGradientBoosting,5.247521935381264,7.023141064355261,191.75651366741303
Hoop Bleke Nelis,Bottle 33cl,"ARIMA(2,1,2)",41.966419737011805,54.41552127418996,64.4777081070153
Hoop Bleke Nelis,Bottle 75cl,"ARIMA(2,1,2)",26.419511199754258,47.394837565170285,189.22604475550443
Hoop Bleke Nelis,Keg 20L,"ARIMA(2,1,2)",117.12199153642202,127.21775934447304,69.10816023961422
Hoop Bleke Nelis,Keg 50L,"ARIMA(2,1,2)",15.01087699635147,58.20315826621356,199.80659320699868
Hoop Bleke Nelis,Other,"ARIMA(2,1,2)",18.724318923225248,22.9197602654681,78.10915265866302
Hoop Kaper Tropical IPA,Bottle 33cl,"ARIMA(2,1,2)",22.2595243962517,29.410485575219766,54.260159840854186
Hoop Kaper Tropical IPA,Keg 20L,"ARIMA(2,1,2)",64.88022547208313,80.77426602345533,72.12946321420011
Hoop Kaper Tropical IPA,Other,"ARIMA(2,1,2)",6.232972485594955,6.720792602976839,132.91201954068396
Hoop Lager,Bottle 33cl,"ARIMA(2,1,2)",3.151390813963981,3.1519730931373133,199.99993651151237
Hoop Lager,Keg 20L,"ARIMA(2,1,2)",218.62804749714485,331.04948375045495,63.21067231541917
Hoop Lager,Keg 50L,"ARIMA(2,1,2)",131.48901282671085,137.91968781977363,194.82285417846524
Hoop Lager,Other,"ARIMA(2,1,2)",20.09909746540918,20.44330785701632,186.90223902454832
Hoop Bleke Nelis,Bottle 33cl,HoltWinters_Additive,65.54909611166067,82.65049033785107,112.81013463617269
Hoop Bleke Nelis,Bottle 75cl,HoltWinters_Additive,40.71663338296647,90.25807903400013,193.008720693819
Hoop Bleke Nelis,Keg 20L,HoltWinters_Additive,110.03077516255402,162.538698661319,58.67766166611891
Hoop Bleke Nelis,Keg 50L,HoltWinters_Additive,15.781276852419477,58.206019500041435,199.79262288333456
Hoop Bleke Nelis,Other,HoltWinters_Additive,20.28043143435547,28.39785262414001,144.0765388249252
Hoop Kaper Tropical IPA,Bottle 33cl,HoltWinters_Additive,37.83196035465241,46.179619756592224,159.23434828229358
Hoop Kaper Tropical IPA,Keg 20L,HoltWinters_Additive,68.29470094647239,94.2614194894146,131.74121865493714
Hoop Kaper Tropical IPA,Other,HoltWinters_Additive,11.73537428346759,20.696811476305136,118.42417031796788
Hoop Lager,Bottle 33cl,HoltWinters_Additive,2.135989524852821,3.1643359320629445,199.99810890876745
Hoop Lager,Keg 20L,HoltWinters_Additive,235.88186372045493,323.9989425490175,66.49524076044344
Hoop Lager,Keg 50L,HoltWinters_Additive,99.3689087480005,157.0655688100805,193.06915593571682
Hoop Lager,Other,HoltWinters_Additive,11.716882873881385,21.883930302054722,199.37499369652917
